YEAR,MO,DY,ALLSKY_SFC_UV_INDEX,WS10M,T2M_MAX,T2M_MIN,PRECTOTCORR,QV2M,RH2M,PS,WD10M,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,WS2M,T2MDEW,PSC,WSC,Climate_Condition
2024,5,7,3.14,1.59,35.75,23.37,0.12,15.87,64.69,93.12,282.88,6.62,6.94,0.47,19.98,100.88,1.31,Hot
2024,5,8,2.64,0.8,34.24,23.6,2.98,16.78,69.44,93.06,287.62,5.65,6.68,0.31,20.88,100.83,0.82,Hot
2024,5,9,2.23,0.95,30.05,23.8,14.4,18.74,84.94,93.04,257.19,5.29,6.21,0.33,22.72,100.86,0.92,Rainy
2024,5,10,2.05,0.86,29.76,23.13,12.58,17.64,80.94,93.09,242.19,4.37,6.71,0.34,21.7,100.91,0.79,Rainy
2024,5,11,2.69,0.62,32.88,22.82,4.42,17.15,76.38,93.17,210.69,5.41,6.83,0.25,21.25,100.98,0.52,Hot
2024,5,12,2.7,0.7,31.57,22.99,3.8,17.46,78.19,93.15,243.44,5.25,6.96,0.25,21.56,100.96,0.59,Hot
2024,5,13,2.17,0.53,30.22,22.82,6.32,17.7,82.94,93.08,140.75,4.19,6.93,0.18,21.8,100.91,0.6,Rainy
2024,5,14,1.9,0.76,32.49,21.4,5.42,16.05,75.62,93.1,169.5,3.84,6.71,0.27,20.22,100.93,0.77,Rainy
2024,5,15,2.81,0.58,32.51,22.01,11.99,16.97,78.81,93.1,208.0,5.53,6.58,0.23,21.11,100.93,0.53,Rainy
2024,5,16,2.23,0.56,29.53,22.9,9.15,17.33,81.69,93.13,231.5,4.78,6.05,0.23,21.45,100.97,0.51,Rainy
2024,5,17,1.92,0.74,31.76,21.81,21.13,17.21,80.19,93.02,273.44,4.01,6.18,0.27,21.35,100.84,0.71,Rainy
2024,5,18,2.66,1.39,28.64,22.55,24.62,18.31,88.75,92.88,262.06,5.14,6.76,0.42,22.33,100.72,1.34,Rainy
2024,5,19,1.83,1.98,27.88,22.08,14.65,17.64,87.88,92.79,261.56,3.57,6.86,0.55,21.76,100.63,1.96,Rainy
2024,5,20,1.24,2.35,25.11,22.08,29.36,18.8,94.81,92.76,258.0,2.33,6.5,0.71,22.74,100.61,2.38,Rainy
2024,5,21,2.59,1.03,28.73,22.48,16.58,18.01,86.69,92.73,179.06,5.1,6.79,0.3,21.99,100.56,1.13,Rainy
2024,5,22,2.17,1.44,25.34,22.47,39.88,19.04,95.75,92.58,181.12,4.18,6.67,0.55,22.92,100.41,1.53,Rainy
2024,5,23,1.31,2.8,25.26,23.08,17.24,18.92,94.5,92.59,235.94,2.45,6.48,0.83,22.82,100.42,2.82,Rainy
2024,5,24,0.92,2.13,27.09,22.61,20.5,18.86,92.06,92.63,271.75,1.73,6.8,0.62,22.79,100.46,2.13,Rainy
2024,5,25,1.54,2.37,25.48,22.08,21.46,17.94,91.69,92.81,279.38,3.75,6.07,0.61,22.02,100.67,2.41,Rainy
2024,5,26,1.72,2.5,26.6,21.52,8.06,17.88,90.0,92.9,275.06,3.96,6.22,0.6,21.93,100.76,2.51,Rainy
2024,5,27,1.72,2.67,26.86,22.57,10.92,18.31,90.19,92.96,268.0,4.27,5.91,0.63,22.36,100.82,2.67,Rainy
2024,5,28,1.18,2.52,24.63,22.2,34.96,18.07,93.44,92.99,264.38,2.5,6.3,0.62,22.15,100.87,2.53,Rainy
2024,5,29,1.92,2.32,26.28,22.06,50.1,17.82,90.94,92.94,272.19,4.08,6.56,0.56,21.94,100.81,2.33,Rainy
2024,5,30,1.83,2.33,27.34,22.19,19.57,18.43,91.06,92.91,279.12,3.74,6.7,0.62,22.46,100.77,2.27,Rainy
2024,5,31,2.34,2.15,26.9,22.37,18.49,18.98,92.31,92.94,286.5,5.13,6.67,0.56,22.95,100.79,2.19,Rainy
2024,6,1,1.65,2.05,26.77,22.44,13.13,19.35,93.5,93.01,276.38,3.2,6.57,0.52,23.26,100.87,2.1,Rainy
2024,6,2,2.23,1.13,26.84,22.09,10.36,18.13,90.69,93.04,278.44,4.56,6.45,0.34,22.23,100.91,1.22,Rainy
2024,6,3,1.84,1.41,27.52,22.03,10.47,18.01,89.62,93.06,280.62,4.0,6.48,0.37,22.11,100.93,1.43,Rainy
2024,6,4,2.51,1.46,27.1,22.13,3.8,18.19,91.0,93.14,261.12,5.55,6.71,0.36,22.29,101.01,1.53,Humid
2024,6,5,1.98,1.48,26.33,21.97,7.29,18.74,94.38,93.16,247.25,4.22,6.77,0.35,22.76,101.04,1.57,Rainy
2024,6,6,1.68,1.36,25.87,21.42,25.32,17.64,92.25,93.27,244.56,3.42,6.63,0.34,21.76,101.18,1.4,Rainy
2024,6,7,2.3,1.54,26.97,20.83,5.46,17.03,89.69,93.17,229.81,4.93,6.74,0.37,21.19,101.07,1.59,Rainy
2024,6,8,2.04,2.18,25.69,21.32,13.46,17.82,93.38,93.18,236.5,4.25,6.92,0.5,21.95,101.09,2.24,Rainy
2024,6,9,2.38,2.28,25.44,21.97,7.37,17.88,92.56,93.15,256.0,5.04,6.91,0.48,22.0,101.04,2.35,Rainy
2024,6,10,2.25,2.37,26.01,21.36,3.0,17.52,90.31,93.23,269.94,4.82,6.97,0.54,21.65,101.12,2.43,Humid
2024,6,11,2.17,2.07,25.45,20.41,4.1,16.85,90.69,93.26,265.94,4.32,7.01,0.45,21.01,101.18,2.14,Humid
2024,6,12,1.45,2.02,24.42,20.73,7.91,16.78,92.19,93.34,279.12,2.91,6.87,0.45,21.0,101.28,2.13,Rainy
2024,6,13,2.25,1.54,27.26,20.41,2.65,16.11,86.19,93.31,283.56,4.96,6.82,0.31,20.33,101.22,1.67,Humid
2024,6,14,2.68,1.66,27.38,20.77,0.14,17.15,88.5,93.17,278.69,5.95,7.09,0.36,21.32,101.06,1.73,Humid
2024,6,15,2.5,2.02,27.43,21.29,1.75,17.52,89.44,93.09,274.25,5.7,7.08,0.45,21.69,100.97,2.01,Humid
2024,6,16,2.55,1.53,27.33,21.08,1.62,17.64,90.69,93.08,267.5,5.56,7.13,0.33,21.78,100.96,1.66,Humid
2024,6,17,2.84,1.42,26.79,20.54,4.7,16.97,89.69,93.14,269.31,6.11,7.02,0.3,21.15,101.04,1.53,Humid
2024,6,18,2.23,1.62,26.01,20.99,17.91,17.27,91.62,93.13,256.69,4.37,6.92,0.34,21.46,101.04,1.76,Rainy
2024,6,19,2.09,1.8,26.34,21.05,14.54,17.09,90.12,93.07,253.69,4.32,6.88,0.36,21.27,100.96,1.85,Rainy
2024,6,20,1.55,2.03,26.11,20.21,7.9,16.36,89.12,93.1,251.31,3.21,6.72,0.43,20.51,101.01,2.05,Rainy
2024,6,21,1.77,2.27,25.72,20.25,6.01,16.36,89.19,93.08,267.31,3.73,6.86,0.52,20.52,100.99,2.35,Rainy
2024,6,22,2.07,2.56,25.08,20.33,6.59,16.17,90.31,92.92,271.56,4.32,6.83,0.62,20.35,100.83,2.49,Rainy
2024,6,23,1.66,3.2,24.1,20.62,12.51,16.17,91.5,92.91,261.88,3.35,6.81,0.78,20.34,100.83,3.13,Rainy
2024,6,24,1.49,3.26,23.57,20.51,22.21,16.36,93.06,92.93,260.62,3.21,6.73,0.74,20.55,100.85,3.28,Rainy
2024,6,25,1.53,3.21,24.26,20.65,14.62,16.05,90.5,92.96,263.06,3.03,6.76,0.7,20.2,100.88,3.24,Rainy
2024,6,26,1.52,3.11,24.58,20.23,23.78,16.6,92.75,92.96,258.38,3.24,6.58,0.68,20.78,100.88,3.06,Rainy
2024,6,27,1.34,2.51,24.22,20.91,8.47,16.6,92.0,93.09,275.06,2.67,6.87,0.52,20.8,101.01,2.59,Rainy
2024,6,28,1.96,2.07,25.89,20.9,2.87,16.78,90.5,93.1,272.94,4.03,6.96,0.43,20.97,101.01,2.12,Humid
2024,6,29,2.15,1.8,25.63,20.79,7.51,17.09,91.81,93.12,270.0,4.47,6.83,0.4,21.25,101.03,1.88,Rainy
2024,6,30,1.71,1.3,24.99,19.67,3.11,16.85,92.75,93.19,268.81,3.49,6.82,0.28,21.01,101.12,1.34,Humid
2024,7,1,1.23,1.59,24.55,20.16,34.48,16.05,91.12,93.26,287.38,2.38,6.73,0.34,20.31,101.2,1.65,Rainy
2024,7,2,1.23,1.47,24.77,19.04,3.52,16.11,91.88,93.15,290.19,4.03,6.73,0.36,20.3,101.09,1.63,Humid
2024,7,3,1.23,1.45,26.08,20.01,3.54,16.78,90.81,93.14,281.06,4.54,6.73,0.3,21.01,101.06,1.56,Humid
2024,7,4,1.23,1.52,25.96,20.41,5.69,17.33,91.94,93.15,283.56,4.82,6.73,0.34,21.5,101.06,1.67,Rainy
2024,7,5,1.23,1.84,25.6,20.9,5.24,17.15,92.06,93.12,271.0,2.94,6.73,0.41,21.33,101.02,1.96,Rainy
2024,7,6,1.23,1.92,24.5,20.41,8.27,16.17,91.88,93.12,264.0,4.27,6.73,0.39,20.43,101.05,2.02,Rainy
